waveform	[0]	[1]
t0	31/12/1903  20:00:00	31/12/1903  20:00:00
delta t	0.010000	0.010000

time	Y[0]	Y[1]
31/12/1903  20:00:03	6.586587E+0	1.646647E+0
31/12/1903  20:00:03	6.606607E+0	1.651652E+0
31/12/1903  20:00:03	6.626627E+0	1.656657E+0
31/12/1903  20:00:03	6.646647E+0	1.661662E+0
31/12/1903  20:00:03	6.666667E+0	1.666667E+0
31/12/1903  20:00:03	6.686687E+0	1.671672E+0
31/12/1903  20:00:03	6.706707E+0	1.676677E+0
31/12/1903  20:00:03	6.726727E+0	1.681682E+0
31/12/1903  20:00:03	6.746747E+0	1.686687E+0
31/12/1903  20:00:03	6.766767E+0	1.691692E+0
31/12/1903  20:00:03	6.786787E+0	1.696697E+0
31/12/1903  20:00:03	6.806807E+0	1.701702E+0
31/12/1903  20:00:03	6.826827E+0	1.706707E+0
31/12/1903  20:00:03	6.846847E+0	1.711712E+0
31/12/1903  20:00:03	6.866867E+0	1.716717E+0
31/12/1903  20:00:03	6.886887E+0	1.721722E+0
31/12/1903  20:00:03	6.906907E+0	1.726727E+0
31/12/1903  20:00:03	6.926927E+0	1.731732E+0
31/12/1903  20:00:03	6.946947E+0	1.736737E+0
31/12/1903  20:00:03	6.966967E+0	1.741742E+0
31/12/1903  20:00:03	6.986987E+0	1.746747E+0
31/12/1903  20:00:03	7.007007E+0	1.751752E+0
31/12/1903  20:00:03	7.027027E+0	1.756757E+0
31/12/1903  20:00:03	7.047047E+0	1.761762E+0
31/12/1903  20:00:03	7.067067E+0	1.766767E+0
31/12/1903  20:00:03	7.087087E+0	1.771772E+0
31/12/1903  20:00:03	7.107107E+0	1.776777E+0
31/12/1903  20:00:03	7.127127E+0	1.781782E+0
31/12/1903  20:00:03	7.147147E+0	1.786787E+0
31/12/1903  20:00:03	7.167167E+0	1.791792E+0
31/12/1903  20:00:03	7.187187E+0	1.796797E+0
31/12/1903  20:00:03	7.207207E+0	1.801802E+0
31/12/1903  20:00:03	7.227227E+0	1.806807E+0
31/12/1903  20:00:03	7.247247E+0	1.811812E+0
31/12/1903  20:00:03	7.267267E+0	1.816817E+0
31/12/1903  20:00:03	7.287287E+0	1.821822E+0
31/12/1903  20:00:03	7.307307E+0	1.826827E+0
31/12/1903  20:00:03	7.327327E+0	1.831832E+0
31/12/1903  20:00:03	7.347347E+0	1.836837E+0
31/12/1903  20:00:03	7.367367E+0	1.841842E+0
31/12/1903  20:00:03	7.387387E+0	1.846847E+0
31/12/1903  20:00:03	7.407407E+0	1.851852E+0
31/12/1903  20:00:03	7.427427E+0	1.856857E+0
31/12/1903  20:00:03	7.447447E+0	1.861862E+0
31/12/1903  20:00:03	7.467467E+0	1.866867E+0
31/12/1903  20:00:03	7.487487E+0	1.871872E+0
31/12/1903  20:00:03	7.507508E+0	1.876877E+0
31/12/1903  20:00:03	7.527528E+0	1.881882E+0
31/12/1903  20:00:03	7.547548E+0	1.886887E+0
31/12/1903  20:00:03	7.567568E+0	1.891892E+0
31/12/1903  20:00:03	7.587588E+0	1.896897E+0
31/12/1903  20:00:03	7.607608E+0	1.901902E+0
31/12/1903  20:00:03	7.627628E+0	1.906907E+0
31/12/1903  20:00:03	7.647648E+0	1.911912E+0
31/12/1903  20:00:03	7.667668E+0	1.916917E+0
31/12/1903  20:00:03	7.687688E+0	1.921922E+0
31/12/1903  20:00:03	7.707708E+0	1.926927E+0
31/12/1903  20:00:03	7.727728E+0	1.931932E+0
31/12/1903  20:00:03	7.747748E+0	1.936937E+0
31/12/1903  20:00:03	7.767768E+0	1.941942E+0
31/12/1903  20:00:03	7.787788E+0	1.946947E+0
31/12/1903  20:00:03	7.807808E+0	1.951952E+0
31/12/1903  20:00:03	7.827828E+0	1.956957E+0
31/12/1903  20:00:03	7.847848E+0	1.961962E+0
31/12/1903  20:00:03	7.867868E+0	1.966967E+0
31/12/1903  20:00:03	7.887888E+0	1.971972E+0
31/12/1903  20:00:03	7.907908E+0	1.976977E+0
31/12/1903  20:00:03	7.927928E+0	1.981982E+0
